label,cleaned_tweet
Ekonomi,debat capres pertama ganjar tegaskan jaga demokrasi dan sikat korupsi bengis ganjar mahfud hebat debatcapres
Ekonomi,ganjar mahfud memiliki komitmen kuat untuk memastikan adanya investasi di desa happy new year
Sosial Budaya,tanah yg disinggung sianies semalam rupanya pnh digadaikan pak prabowo utk mengusung sianies jd gubernur dki inna lillahi
Geografi,aayaa ganjar mahfud hebat dulujokowisekarangganjar bersih kuatkankpk sikatkorupsi bukan nyogok tapi kkn korupsi kolusi nepotisme bersih kuatkankpk mahfud md 
Geografi,pak anies terkejut tidak mau banyak berkomentar soal presiden kok ikut memberikan komentar debatcapres biarkan publik yg menilai dalam debat harus misa menjawab dan jangan berlindung dalam kerahasiaan ketika tidak bisa menjelaskan aaya aminajadulu
Sosial Budaya,bersama ganjar mahfud indonesia bersih dari korupsi 
Demografi,wuih kemandirian industri digital kita pasti makin meningkat nih dukungan ganjar mahfud ke umkm lokal melalui commerce bakal jadi dorongan besar buat pertumbuhan ekonomi digital kita happy new year
Demografi,pendidikan adalah investasi jangka panjang dan ganjar memastikan prajurit memiliki dukungan penuh debatcapres
Ekonomi,buzzerr prabowo gibran tidak punya rasa kemanusiaan mereka ramai ramai membela oknum tni yang telah menghajar para relawan ganjar mahfud bahkan paling ironi mereka mendukung dan membenarkan tindakan oknum tni itu ya allah apakah mereka sudah tidak punya urat nadi kemanusiaan semua partai politik yang memiliki anggota legislatif kuat di daerah pasti akan melakukan kampanye dengan berbagai model parade ada yang pakai knalpot brong ada juga yang pakai mobil terbuka bawa alat musik semua dilakukan caleg caleg untuk menyambut uforia pesta demokrasi bersama basis masa di dapilnya entah itu pdip gerindra golkar pkb pks pan atau yang lainya aaa hal yang sudah di anggap jamak lumrah karena bagian dari tradisi pemilihan caleg atau presiden tiap an banyak juga yang ditangkap polisi satlantas motor mereka dibkandangin tidak bisa keluar karena mungkin pajaknya mati atau ternyata tidak ada suratnya nanti paling calegnya kasih uang ganti rugi karena kadernya kena tilang atau motornya ditahan nah kalo kejadian di boyolali itu kalian para pendukung prabowo gibran membela tni sangat kejam dan moral kalian sudah minggat gara gara hanya nomor rekening masuk tiap bulan apa ini memperlihatkan bahwa aparat tidak netral dan mereka berada dalam rangkaian ritual itu kemanusiaan kalian dimana jelas oknum tni di markas boyolali itu melakukan kekerasan bahkan kemarin waktu saya menjenguk salah satu korban bilang bahwa mereka semua bertuju diseret masuk ke markas dan dihajar secara bancaan sampai terluka berat ada satu korban belum sadar sampai sore kemarin apa itu tugas tni sedangkan jalan raya boyolali itu adalah jalan provinsi bukan jalab tni kepala satuan bisa saja tlp kasatlantas untuk menangkap mereka jika melanggar lalulintas karena hukum lalu lintas itu tidak di hajar sampai terluka parah seperti itu kamu dimana empatimu buzerr pak dan mas ini bukan masalah yang dihajar relawan ini soal kemanusian yang warga sipil sudah di hakimi oleh oknum tni yang secara keji bertindak semana mena tolong temen temen yang masih punya empati kawal terus kasus ini biar nanti tidak terulang lagi dan menimpa pihak manapun terimakasih 
Ideologi,dengan ganjar mahfud kota kota akan menjadi magnet ekonomi yang menarik investasi happy new year
Sosial Budaya,sebut gaza dilindas karena tak punya kekuatan militer prabowo dianggap tanpa empati
Geografi,pentingnya etika momen pendukung prabowo gibran teriak mengumpat di acara debat capres
Sumber Daya Alam,di debat ketiga capres prabowo subianto optimis utang luar industry indonesiakuatindonesiamaju
Geografi,pasangan duet capres cawapres ganjar pranowo dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk jnk ganjarmahfudrebound ganjarpranowopilihanumat
Politik,ganjar mahfud bikin kebijakan pro kesejahteraan aph tas tes
Sosial Budaya,suasana kebangsaan yang penuh semangat tercipta di sholawat kebangsaan ganjar mahfud di kota solo ketika ribuan masyarakat bersatu dalam menyanyikan lagu kebangsaan indonesia raya jawatengah jawa tengah jateng
Demografi,ganjar pranowo menjadikan pelayanan publik efisien dan transparan kita bangun bersama menuju pemerintahan yang lebih baik ganjarpranowopilihanumat
Ideologi,berantas korupsi seminimal mungkin demi kemajuan dan kesejahteraan rakyat indonesia dukung dan menangkan ganjar mahfud di pilpres aayaayaayaay
Politik,cara prabowo gibran hapus korupsi sejahterakan pejabat negara
Sosial Budaya,capres no urut ganjar pranowo ajak ipb berani memimpin lewat kontrak terbuka untuk kedaulatan pangan jnk ganjarmahfudrebound ganjarpranowopilihanumat
Geografi,kejadian pak prabowo menyela ketika pak anies ngomong jadi sesuatu yg menunjukkan karakter yg sebenarnya debat ada tata aturan gagasan dan bantahan ga santai ah kasian anies jadi berkurang waktunya anies prabowo ganjar pemimpinyangdinanti debatcapres
Sumber Daya Alam,waduh mas mmgnya itu anggaran pandemi keluar dr harta pribadi pak ingat itu anggaran uang rakyat disaat rakyat susah ya sdh kewajiban ngr utk bantu ingat skali lagi bkn jasa dr menhan
Ekonomi,caleg pada kampanye gw juga ahh inget yah tanggal februari itu kita ber demokrasi yang mau coblos anies dipersilahkan yang tidak pilih prabowo enggak yang enggak mendukung ganjar juga boleh semua asik asik aja wirrrrr 
Geografi,hubungan internasional jadi makin solid dengan kebijakan pro kesejahteraan ganjar mahfud you rock
Demografi,prabowo jawab anies soal selatan selatan kalau hanya ngomong kumaha 
Pertahanan dan Keamanan,anies baswedan sebut pemerintah selama ini tak serius urusi pupuk temponasional
Politik,ganjar pranowo mahfud md pemimpin yang merakyat dorong pertumbuhan ekonomi yang merata ganjar mahfud hebat guru ngaji satu juta
Ideologi,prabowo berulangkali menyalahkan bu sri mulyani atas kinerja buruk dirinya sebagai menhan aayaa siapa lagi yg salah pak pak basuki karena anggaran pupr menyedot anggaran kemhan atau bu retno marsudi karena diplomasi internasional beliau yg mantap mengambil spotlight dari anda 
Demografi,ganjar mahfud memenangkan dukungan rakyat dengan kebijakan yang bersifat konkret dan memberantas korupsi di kepolisian
Pertahanan dan Keamanan,visi ganjar mahfud akan menggerakkan pertumbuhan ekonomi yang merata di seluruh penjuru indonesia happy new year
Ideologi,mantan ketua umum pbnu periode said aqil siroj menyatakan dukungan terhadap capres dan cawapres paslon anies baswedan cak imin amin pemilupedia bisnisupdate update bisnis oneliner
Pertahanan dan Keamanan,pak dan mas berkomitmen memberantas korupsi hingga ke akar akarnya melakukan perbaikan sistem dan bersungguh sungguh untuk menghapuskan korupsiaa diaa indonesia prabowogibran bersamaindonesiamaju
Politik,pengalaman tahun di legislatif dan tahun di eksekutif memperlihatkan pengalaman dan sudah terujinya capres no urut ganjar pranowo dalam menjalankan roda pemerintahan aayaaaayaayaaaa ganjarpresiden
Ekonomi,saya membacanya ketika pak bowok bilang omon omon omon adalah sebagai bentuk tekanan yang luar biasa karena kena ulti terus sama pak anies aayaaaayaaaayaa debatcapres aminajadulu
Pertahanan dan Keamanan,capres no urut ganjar pranowo ajak ipb berani memimpin lewat kontrak terbuka untuk kedaulatan pangan jnk ganjarmahfudrebound ganjarpranowopilihanumat
Pertahanan dan Keamanan,ganjar pranowo semoga daerah lain yang kekeringan mendapatkan perhatian yang sama terutama dari pemerintah terimakasih pak ganjar aayaa mahfud hebat happy new year
Demografi,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa jnk ganjarpranowopilihanumat
Geografi,wah capres no urut ganjar pranowo bukan sekedar bicara tapi tindakan dia tawarkan kontrak terbuka ke ipb untuk bantu kedaulatan pangan kita jnk ganjarmahfudrebound ganjarpranowopilihanumat
Politik,sukses terus ganjar mahfud dalam mewujudkan janjinya alokasikan persen anggaran buat koperasi dan umkm ekonomi kerakyatan pasti semakin maju happy new year
Politik,ganjar mahfud memberikan harapan baru buat umkm dengan kebijakan yang nyata tempat usaha dan anggaran belanja ini baru namanya dukungan ekonomi kerakyatan happy new year
Politik,tiga orang anggota dewan kehormatan penyelenggara pemilu dkpp mengalami peretasan nomor ponsel selasa dini hari peretasan itu terjadi pada ponsel milik heddy lugito ratna dewi pettalolo dan dewa raka sandi secara bersamaan handphone saya di hack dan bukan cuma saya nomor saya nomornya bu dewi dan pak dewa bareng di waktu yang bersamaan tadi malam kata ketua dkpp heddy selasa ia mengaku heran dengan peristiwa peretasan secara berbarengan ini namun tak ingin berprasangka buruk bahwa peretasan ini berkaitan dengan kasus yang sedang mereka tangani dkpp saat ini sedang sederet perkara dugaan pelanggaran etik penyelenggara pemilu salah satunya kasus dugaan pelanggaran etik para komisioner kpu ri perkara ini sudah kali disidangkan dan akan sekali lagi disidangkan para komisioner kpu ri dinilai melanggar etik karena menerima pencalonan putra sulung presiden joko widodo gibran rakabuming sebagai wakil presiden pendamping prabowo subianto padahal syarat usia capres cawapres dalam peraturan kpu tentang pilpres masih minimum tahun tanpa syarat alternatif dkpp juga menerima laporan kasus dugaan pelanggaran etik komisioner bawaslu jakarta pusat yang menilai terjadi dugaan pelanggaran hukum lain dalam aksi gibran bagi bagi susu pada momen car free day di jakarta desember narasi daily
Politik,terima kasih ganjar mahfud dengan mengalokasikan persen anggaran pemerintah dan bumn untuk koperasi dan umkm semoga makin banyak peluang usaha kecil yang berkembang happy new year
Sosial Budaya,demokrasi kita diwujudkan di people party democracy februari mantap ayo kita jadikan momen ini lebih bermakna dengan memilih ganjar pranowo ganjarmahfudrebound ganjarpranowopilihanumat jnk
Sosial Budaya,ganjar mahfud akan membantu memperbaiki iklim investasi di indonesia happy new year
Demografi,kemarin di purworejo ada pertanyaan dari warga bahwa agak aneh buat mereka pks dan pkb bisa bergabung dlm koalisi yg sama saya bilang bisa saja karena mereka sedang memperjuangkan nilai yg sama keadilan sosial bagi seluruh rakyat indonesia dgn presentasinya anies baswedan muhaimin iskandar mereka ngangguk ngangguk dan tepuk tangan nilai universal yg sekarang ini dirasa terganggu memang menjadi pemersatu semua kalangan sama seperti saat perjuangan kemerdekaan semangat itu dirasakan kembali kini perjuangan utk perubahan bagi indonesia yang lebih baik aayaaaaayaaaayaa
Geografi,pesta demokrasi indonesia bulan depan karena demokrasi itu penting bro ayo kita pastikan kepentingan demokrasi dengan memilih ganjar pranowo ganjarmahfudrebound ganjarpranowopilihanumat jnk
Politik,di mata rocky gerung prabowo gibran beberapa kali lakukan pelanggaran bawaslu tidur 
Sosial Budaya,yang satu bisa jadi cawapres hasil melanggar etika yang satu keluar koalisi karena ga jadi dicalonkan sebagai cawapres keduanya bicara soal ambisi anies
Ekonomi,pak anies tidak menyerang pribadi pak prabowo melainkan menyerang kinerja pak prabowo selama jadi menhan dan ini kesalahan prabowo sendiri kenapa panas ketika kinerjanya dikritik pak prabowo tidak siap berdemokrasi tidak siap adanya oposisi yg menyerang kebijakan dia
Pertahanan dan Keamanan,penyebab tragis pengusiran prabowo subianto dari keluarga cendana dituding lakukan hal ini oleh anak soeharto
Demografi,benarkah anies muhaimin pemimpin yang tak diharapkan penguasa 
Politik,psi dikenal sbg partai yg konsisten serang anies scr barbar khususnya saat menjabat gubernur dki setelah hanya dlm hitungan hari kaesang berhasil jadi ketum psi lalu baliho psi partai jokowi ditebar sepertinya jd jelas siapa dalang dibalik serangan terhadap anies aaya
Politik,tiap orang punya experience tiap orang punya pendapat negeri ini negeri demokrasi sy lebih suka kepemimpinan pak ganjar ketika menjabat sy tidak pernah merasa terancam ketika berada di jalanan di jateng terimakasih om
Ideologi,tegas ketum pbnu sebut khofifah harus nonaktif dari jabatan muslimat nu jika gabung kubu prabowo
Sosial Budaya,masyarakat mendukung ganjar mahfud sebagai calon presiden dan calon wakil presiden yakin akan terwujudnya polisi yang bersih dan bebas dari korupsi
Ideologi, prabowo serang anies soal anggaran dki dan polusi udara yg disalahkan anies dijuluki wan angin olh buzzers prabowo gibran serang cak imin dg singkatan yg dirujak cak imin anies dan ganjar serang program prabowo yg salah tetep anies pak anies pak anies sorry ye
Geografi,ganjar optimis capai pertumbuhan ekonomi sahabatganjaraa aa ganjar menangkanganjar generasigotongroyongaa ganjar mahfud hebat lulus pasti kerja
Sosial Budaya,debat capres pertama ganjar tegaskan jaga demokrasi dan sikat korupsi bengis ganjar mahfud hebat lulus pasti kerja
Sosial Budaya,keliru klaim anies terkait anggaran kementerian pertahanan rp triliun untuk beli alutsista bekas
Politik,ganjar mahfud akan menjadi pemimpin yang mampu mengubah kota kota kita menjadi pusat pertumbuhan ekonomi yang kuat happy new year
Ekonomi,kepemimpinan ganjar mahfud adalah jaminan untuk pemerintahan yang bersih dan transparan happy new year
Geografi,mas tidak pernah mengklaim bahwa dirinya lebih tni dari banyak tni namun ternyata mas ganjar jauh lebih memiliki pemahaman yang komprehensif integratif terukur dan terpadu tentang pertahanan negara alutsista kesejahteraan prajurit tni polri dan geopolitik dibandingkan menhan yang hobi nyapres aaya aaaya aaaya
Sosial Budaya,ngomong ngomong soal mengkritik anies pas jadi gubernur aku punya cerita lucu nih habis kritik rumah dp rupiah terus diajak ketemuan sama alm mas jati lingkaran anies pasti kenal mas jati kami ketemuan di warkop di sekitar blok sesudah magrib intinya protes soal berita itu dia jelasin panjang lebar soal proyek anies itu dan kritikku keliru jadi perdebatan panjang banget lah part lucunya nih udah kelar debat udah ngobrolin yang lain warkop udah mau tutup eh balik lagi bahas dp rupiah debat lagi sampai aaadiusiraaa penjaga warkop karena udah mau tutup udah dong keluar dari warkop kami jalan ke parkiran di parkiran mas jati memulai debat lagi jadi kami berdiri di parkiran debatin rumah dp rupiah keknya sampai jam malam lewat di sana arbi temen yang ikut liputan sampe udah mau pulang masih ribut ini momen kocak banget kalau aayaaaayaaaayaa donaaatmt get wrong sesungguhnya respons begitu lebih menyenangkan buat wartawan ketimbang dikit dikit lapor polisi atau nyerang di medsos sisi baiknya kadang dapat spill an info internal yang menarik buat di follow up jadi liputan 
Sumber Daya Alam,pertumbuhan ekonomi ganjar pranowo emang pilihan tepat buat bangun indonesia yang lebih baik happy new year
Geografi,bulan depan people party democracy bukan cuma party biasa tapi party demokrasi dan kita semua bakal berpesta ria dengan memilih ganjar pranowo ganjarmahfudrebound ganjarpranowopilihanumat jnk
Politik,pasangan duet capres cawapres ganjar pranowo dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk jnk ganjarmahfudrebound ganjarpranowopilihanumat
Sosial Budaya, anies bacot tapikan emang debat kudu ngomong bukan ditanya apa jawab apa dan apa itu ber etika seperti itu eh tapikan etik ndasmu
Geografi,korupsi membahayakan bangsa prabowo subianto tegaskan siap perkuat kpk dan penegak hukum lainnya via
Pertahanan dan Keamanan,keberhasilan ganjar mahfud akan membawa kebahagiaan dan kesejahteraan bagi setiap warga indonesia happy new year
Politik,pdip sentil food estate prabowo babat hutan bu mega menaruh perhatian cnn indonesia indonesiakuatindonesiamaju
Ideologi,ini jawaban anies ketika ditanya yg membuat tdk tunduk kepada amerika saya yakin pembenci anies tdk akan bisa komentar apa apa kalau lihat video ini aminajadulu
Ideologi,anies ingin investasi dan pertumbuhan ekonomi mampu ciptakan lapangan kerja yang sebanding
Ekonomi,tim anies luruskan soal rp t dahnil kebohongan itu sudah menyebar dahnil mengatakan anggaran rp triliun kementerian pertahanan bukan untuk pembelian alutsista bekas ia menuding anies menyampaikan pernyataan soal rp untuk alutsista bekas demi menjatuhkan prabowo subianto statement anies tersebut kebohongan yang sangat bengis dan jahat sengaja mau menebar hoaks hanya untuk sekadar menjatuhkan pak prabowo tidak ada anggaran kemhan sebesar rp triliun hanya untuk alutsista bekas seperti omon omon alias omong omong bohong anies tersebut katanya ia menjelaskan anggaran kemhan pada sekitar rp triliun adapun pendanaan itu digunakan untuk kesejahteraan prajurit rumah dinas pendidikan hingga fasilitas kesehatan untuk tentara anggaran kemhan tahun saja sekitar rp triliunan digunakan untuk kesejahteraan prajurit rumah dinas pendidikan rumah sakit tentara dan lain lain rp triliunannya digunakan untuk belanja alutsista kata dahnil ia menyebut anggaran kemenhan mulai hingga sebesar rp triliun ia menekankan penggunaan untuk alutsista berkisar di angka persen dari rp t nah kalau sepanjang sampai maka anggaran kemhan itu sebesar rp triliun dan itu digunakan untuk belanja prajurit rumah kesejahteraan pemeliharaan alutsista dan lain lain ucap dahnil selengkapnya klik 
Sumber Daya Alam,timnas amin ungkap sudah kali acara anies tiba tiba tak bisa dilaksanakan
Geografi,ganjar mahfud punya kebijakan kesejahteraan yang top abis
Politik,bersama ganjar pranowo kita wujudkan kesejahteraan yang adil dan merata bandung bandungaa ganjar mahfud hebat debatcapres
Pertahanan dan Keamanan,ganjar mahfud pemimpin yang tulus memberikan perhatian khusus pada pembangunan ekonomi daerah untuk meningkatkan kesejahteraan seluruh indonesia
Sosial Budaya,am going to debat capres ini pak unggul dalam penguasaan materi dan data pak unggul dalam strategi debat yg berhasil membuat lawan terutama prabowo patah sejak awal pembukaan ia sibuk mengontrol emosi pak cendrung defensif bahkan untuk membantah serangan yg salah alamat ke dirinya pun dia gak lakukan perlawanan argumen berdarkan aturan yg ada contoh serangan yg dimaksud pak anies menyinggung ruang cyber kita yg gak aman sehingga kemhan sempat jebol keamanan cybernya hal ini jadi catatan ironi bagi kemhan padahal tugas fungsi dan wewenang terkait keamanan cyber bukan ranah kemhan tapi oleh bssn yang dinaungi kemnko polhukam dan koordinasinya langsung ke presiden anies menyoroti adanya ketimpangan yg mana kesejahteraan prajurit tni dari gaji tunjangan rumah menurutnya kurang diperhatikan sementara prabowo sebagai kemhan tanahnya puluhan ribu hektar tanggung jawab atas kesejahteraan prajurit ialah ranah dari panglima tni sebagai pihak mengajukan kenaikan tersebut panglima tni koordinasi kemenkeu kemenhan dibawa ke rapat dpr ri lalu disetujui presiden pak ganjar sangat menguasai materi argumentasi dan pilihan diksi dari ganjar juga biasa gak sepedas pak anies tapi pertanyaan yg ganjar ajukan memang hal yg urgent contohnya saat ia mencecar prabowo kenapa mef iii di baru tercapai dari target minimum ganjar tau hal tersebut urgent karena sekarang udah masuk yg artinya tahun terakhir bagi kemhan mencapai targetnya di mef iii ditambah menhan harus sudah memiliki rancangan pertahanan tahun ke depan agar dilanjutkan oleh siapa pun yg menjabat next menhan 
Ideologi,dukungan untuk ganjar mahfud adalah dukungan untuk keadilan dan kesejahteraan masyarakat happy new year
Ideologi,sebaiknya prabowo mundurlah tak ada prestasi sehingga terus prestasi jokowi yang sebrbernya tidak ada prabowo gagal dari jendral pecatan food estate gagal kemenhan yg amburadul bahkan diduga ada korupsi jumbo utk biaya kampanye 
Politik,gaya pemerintahan transparan ganjar membangun kepercayaan dan partisipasi warga 
Sumber Daya Alam,heboh video minyak goreng berlabel prabowo gibran said didu cara berpolitik kampungan 
Ekonomi,ganjar mahfud akan membawa investasi ke daerah daerah terpinggirkan happy new year
Geografi,anies baswedan aayaaaaa aaaaayaay aaaa aaaaaaaaaaaa aa aa aaayaaaayaaaayaa kapasitas kecerdasan integritas terbukti dari rekam jejak nyata yang mungkin tidak di miliki kandidat lain dan terbukti di akui di kancah global gubernur baswedan anda telah berhasil mempengaruhi pbb hanya dalam waktu menit bayangkan apabila anda diberikan waktu menit ini sih keren abiezaayaasaayaaa senggol dong bozz a aminajadulu aniesbubble
Pertahanan dan Keamanan,iseng nyari di google yang dikatakan anies baswedan adalah benar anggaran pertahanan kemenhan dari tahun mencapai triliun lah terus menyesatkan nya dimana 
Pertahanan dan Keamanan,solo terbelah masyarakat di sekitar pasar klewer ternyata pilih anies muhaimin
Ideologi,anies baswedan padahal gampang banget kalo mau lepas dari julukan bapak intoleransi atau bapak politik identitas tapi ga mau karena masyarakat yg intoleran itu adalah lumbung suara dia payah
Politik,ganjar pranowo mahfud md capres pilihan kita untuk tingkatkan investasi dan lapangan kerja happy new year
Demografi,pilpres dan pemilih jokowi memilih dia antara lain untuk mencegah prabowo berkuasa di pilpres ini justru jokowi yg mengusung prabowo untuk menjadi penguasa dgn modus ala orde baru melalui sang ipar sbg ketua mk ketentuan uu diubah untuk membuka jalan bagi sang anak mendampingi prabowo tak dinyana demokrasi yg lahir dari reformasi dgn menyingkirkan penguasa orde baru justru hendak dikembalikan jokowi selama nyaris thn berkuasa jokowi mengingkari janjinya untuk menuntaskan ham berat ia justru berkongsi dgn salah satu penanggung jawab pelanggaran ham berat tsb dgn mengangkatnya menjadi menhan sekarang ia justru mengusung pelanggar ham berat itu untuk meneruskan kekuasaaannya 
Sumber Daya Alam,debat ketiga anies baswedan aaaserangaaa prabowo subianto dengan jumlah lahan pribadi dan food state
Geografi,anis kesukaan amerika cs dengan alat demokrasi dan keadilan harga diri bangsa menoton ganjar membenahi sistem dan administrasi dan enak didengar untuk dongeng tidur mahfud hebat happy new year
Ideologi,buzzer utama ganjar ini nanti gimana ya kan mereka akan koalisi di putaran ke katanya aayaa
Geografi,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa jnk ganjarpranowopilihanumat
Ideologi,rekam jejak pak anies dan pak ganjar sebagai gubernur boleh dipertanyakan kalo rekam jejak pak menhan yg masih aktif jabatannya baiknya jangan disenggol rahasia negara gitu kali ye jangan dimarahin ye gue cuma warga biasa 
Demografi,dengan ganjar mahfud kita akan melihat hasil nyata dalam upaya meningkatkan kesejahteraan mereka happy new year
Ideologi,ya nggak mungkin nyerang ganjar karena levelnya sama sebagai eks gubernur prabowo dari awal menggaungkan jokowi artinya seperti petahana yang kebijakannya patut dipertanyakan
Geografi,keputusan ganjar mahfud untuk meningkatkan anggaran pertahanan menunjukkan keseriusan mereka dalam mewujudkan kemajuan industri pertahanan dalam negeri
Ekonomi,antara si anis den wadas krn mereka berdua pernah di sebut dalam kasus korupsi atau malah mereka berdua sekaligus yg akan kena kpk aaya alhamdulillah kalau pak prabowo bersih dari segala perbuatan yg merugikan negara dan rakyat 
Ekonomi,kemarin repdem ormas underbow pdip sibuk menyebarkan pamflet fitnah keji berupa tuduhan terhadap pendukung prabowo gibran padahal korban meninggal justru akibat bentrokan antara simpatisan pdip dgn gpk sebuah ormas underbow partai koalisi mereka sendiri yaitu ppp 
Demografi,kl urusan kekuatan militer yep itu rahasia negara none has rights to know but to whom it may concern tp kl soal anggaran militer lo pikir itu anies menyebut angka harusnya si menhan jabarin dong buat apa aja tu duid rakyat berhak tau debatcapres
Politik,hajatan demokrasi februari tempat kita bersuara guys dan bersama sama kita bisa membuat suara kita terdengar dengan memilih capres ganjar pranowo ganjarmahfudrebound ganjarpranowopilihanumat jnk
Politik,demokrasi berduka satu relawan ganjar tewas dianiaya pendukung prabowo gibran di diy empat relawan ganjar dianiaya oknum tni di boyolali dan yg bikin tambah miris buzzerp membela para penganiaya bahkan bilang hoax jangan diam sappo harus asalbukanprabowo doa kita untuk teman teman yg jadi korban dan untuk teman teman yg lain tetap semangat tetap tegar dan terus berjuang kebenaran 
Pertahanan dan Keamanan,anies bukan di hadapan dpr saja anggaran kemenhan tidak dibaha di rapat terbuka karenan menyangkut rahasia negara pertahanan bukan masalah omon omon 
Sosial Budaya,capres yg memiliki ini kasus formula hanya buatan yg dipaksakann untuk menjatuhkan elektabilitas aniesaaya dan terbukti no korupsi malahan ketua kpk yg tersandung korupsi aaya kl mau mencerdaskan bangsa jngn dibayar aaya 
Ideologi,prabowo adalah mantan prajurit yg sdh sering mempertaruhkan nyawa dlm peperangan maut bukan lah hal yg menakutkan bagi prabowo namun kali ini wajah prabowo benar terpukul oleh ulah emak yg berghibah hanya utk menilai kinerja kementerian pertahanan prabowo sedih dan kita semua juga sedih karena tdk membayangkan seorang menteri pecatan bisa menilai kinerja kementerian pertahanan yg masuk kategori kementerian dgn kinerja terbaik dibawah kepemimpinan pak prabowo duo mantan gabener gagal ini benar luar biasa urat malunya persatuannasional menatap moral capres
Sumber Daya Alam,capres no pak ganjar pranowo memberi harapan dia ngajak ipb kerja sama lewat kontrak terbuka untuk jaga kedaulatan pangan kita jnk ganjarmahfudrebound ganjarpranowopilihanumat
Demografi,ganjar mahfud memahami pentingnya dukungan pemerintah bagi pengembangan teknologi happy new year
Demografi,presiden joko widodo jokowi menegaskan kenaikan gaji bagi prajurit tni dilakukan dengan pertimbangan dan kalkulasi yang matang sesuai kondisi fiskal negara hal itulah yang membuat gaji personel tni polri tidak naik setiap tahun hal itu disampaikan jokowi menanggapi pernyataan calon presiden capres nomor urut anies rasyid baswedan saat debat capres yang menyoroti kebijakan pemerintah untuk kesejahteraan para prajurit tni di era jokowi justru lebih parah dibanding era sby ya situasi fiskal kita situasi ekonomi kan berbeda beda kita memutuskan menaikan atau tidak menaikan itu semuanya pasti dengan pertimbangan pertimbangan yang matang kata jokowi usai meresmikan jalan tol pamulang cinere raya bogor di gerbang tol limo utama kota depok jawa barat senin jokowi gaji tni republika
Ekonomi,wah pak ganjar dan pak mahfud memang visioner program smk berasrama langsung kerja ini solusi cemerlang buat putus sekolah dan pengentasan kemiskinan aayaa
Demografi,presiden jokowi bagi bagi bansos di banten dengan spanduk pasangan terpampang di sana ada apk di sekitar presiden logis dong jika rakyat disana mengira ini bansos berasal dari pak jokowi bukan dari negara apakah ini menunjukkan presiden sudah tidak punya etika apa presiden sudah tidak malu terlihat tidak netral atau ini bermakna presiden sedang panik hingga harus melakukan semua ini untuk membantu pasangan capres prabowo dengan anaknya kenapa presiden bertindak seakan jadi jurkam untuk anaknya inilah yang saya katakan kondisi negara menjelang pemilu sekarang ini sudah tidak normal tindakan presiden sudah berada di luar keadaan normal angka angka survei nampak tidak normal suara di medsos tidak normal aturan bisa dibuat tidak normal keputusan mk tidak normal bagaimana nanti jika saat pemilihan hasil quick count juga tidak normal sayangnya masih banyak orang berpikir dan menanggapi keadaan pemilu sekarang dengan cara pikiran normal maka nanti jangan kaget dan heran jika proses pemilu dan hasilnya ternyata juga dirasa tidak normal 
Demografi,hebat pasangan capres cawapres ganjar pranowo mahfud md buka pintu sukses dengan kredit untuk koprasi dan umkm semangat pelaku bisnis lokal nct wish jnk ganjarmahfudrebound ganjarpranowopilihanumat
Demografi,prabowo subianto pertanyakan kecerdasan anies baswedan timnas amin apa pak jokowi goblok 
Ekonomi,panas anies persoalkan komitmen prabowo timbul tenggelam bersama rakyat tapi malah bergabung dengan pemerintah silahkan rakyat menilai 
Sumber Daya Alam,anies itu membawa harapan kebaikan utk semua kelompok masyarakat di indonesia yg selama ini berpandangan anti demokrasi saja mengubah pandangannya utk ikut serta menggunakan hak pilihnya utk memilih anies bukti bahwa anies membawa harapan dan potensi kemajuan utk demokrasi dan bangsa ini aayaaaaayaaaayaa
Demografi,pasangan duet capres cawapres ganjar pranowo dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk jnk ganjarmahfudrebound ganjarpranowopilihanumat
Politik,wrap up nakes desak anies thread stunting hpk dan kesehatan ibu harus menjadi prioritas penciptaan generasi berprestasi dan berdaya saing dimulai bukan saat sudah di sekolah dan diberi makan siang dan susu gratis namun sejak saat ibu sudah merencanakan kehamilan dalam kondisi yang sehat dan siap memberikan asupan tebaik selama hari pertama kehidupan bagi sang bayi nanti kalau diberikan susu gratis maka yang diuntungkan adalah perusahaan susu dan peningkatan impor nantinya
Sosial Budaya,meski dengan terbatasnya anggaran pa parabowo bisa menorehkan prestasi yg luar biasa coba sebelum pa prabowo ada ga yg seperti ini ga ada kan
Ideologi,haikal hassan ungkap prabowo pernah gadai tanah untuk anies jadi gubernur jakarta
Pertahanan dan Keamanan,duh wan abud omonganmu soal prabowo salah lagi deh dukungantulus penasaran kebebasan ptn top menhan nyebokin nangisin goblok pt tmi
Ekonomi,ganjar calon pemimpin yg berfokus pada pembangunan melalui investasi dalam pendidikan debatcapres
Sumber Daya Alam,pdip tanggapi jokowi prabowo makan malam berdua detikbali indonesiakuatindonesiamaju
Sumber Daya Alam,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa jnk ganjarpranowopilihanumat
